geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness
31,2,BC,9.5942,13.5942,0.2394
31,3,CD,9.5942,13.5942,0.2394
31,4,DE,11.9964,13.9964,0.2394
31,5,FG,12.0627,16.0627,0.2394
31,6,GH,9.6637,13.6637,0.2394
31,7,HI,9.6637,13.6637,0.2394
31,8,IJ,12.0627,16.0627,0.2394
31,9,AF,5.0275,7.0275,0.2394
31,10,GB,6.2903,10.2903,0.2394
31,11,HC,7.4466,11.4466,0.2394
31,12,ID,6.2903,10.2903,0.2394
31,13,EJ,5.0275,7.0275,0.2394
31,14,FB,13.0073,17.0073,0.2394
31,15,GC,11.4725,15.4725,0.2394
31,16,IC,11.4725,15.4725,0.2394
31,17,JD,13.0073,17.0073,0.2394
32,1,AB,11.9964,13.9964,0.2394
32,2,BC,9.5942,13.5942,0.2394
32,3,CD,9.5942,13.5942,0.2394
32,4,DE,11.9964,13.9964,0.2394
32,5,FG,12.0627,16.0627,0.2394
32,6,GH,9.6637,13.6637,0.2394
32,7,HI,9.6637,13.6637,0.2394
32,8,IJ,12.0627,16.0627,0.2394
32,9,AF,5.0275,7.0275,0.2394
32,10,GB,6.2903,10.2903,0.2394
32,11,HC,7.4466,11.4466,0.2394
32,12,ID,6.2903,10.2903,0.2394
32,13,EJ,5.0275,7.0275,0.2394
32,14,FB,13.0073,17.0073,0.2394
32,15,GC,11.4725,15.4725,0.2394
32,16,IC,11.4725,15.4725,0.2394
32,17,JD,13.0073,17.0073,0.2394
33,1,AB,11.9964,13.9964,0.2394
33,2,BC,9.5942,13.5942,0.2394
33,3,CD,9.5942,13.5942,0.2394
33,4,DE,11.9964,13.9964,0.2394
33,5,FG,12.0627,16.0627,0.2394
33,6,GH,9.6637,13.6637,0.2394
33,7,HI,9.6637,13.6637,0.2394
33,8,IJ,12.0627,16.0627,0.2394
33,9,AF,5.0275,7.0275,0.2394
33,10,GB,6.2903,10.2903,0.2394
33,11,HC,7.4466,11.4466,0.2394
33,12,ID,6.2903,10.2903,0.2394
33,13,EJ,5.0275,7.0275,0.2394
33,14,FB,13.0073,17.0073,0.2394
33,15,GC,11.4725,15.4725,0.2394
33,16,IC,11.4725,15.4725,0.2394
33,17,JD,13.0073,17.0073,0.2394
34,1,AB,11.9832,13.9832,0.2421
34,2,BC,9.7378,13.7378,0.2421
34,3,CD,9.7378,13.7378,0.2421
34,4,DE,11.9832,13.9832,0.2421
34,5,FG,12.0049,16.0049,0.2421
34,6,GH,9.8186,13.8186,0.2421
34,7,HI,9.8186,13.8186,0.2421
34,8,IJ,12.0049,16.0049,0.2421
34,9,AF,5.3168,7.3168,0.2421
34,10,GB,6.038,10.038,0.2421
34,11,HC,7.2949,11.2949,0.2421
34,12,ID,6.038,10.038,0.2421
34,13,EJ,5.3168,7.3168,0.2421
34,14,FB,13.1098,17.1098,0.2421
34,15,GC,11.4579,15.4579,0.2421
34,16,IC,11.4579,15.4579,0.2421
34,17,JD,13.1098,17.1098,0.2421
35,1,AB,11.9856,13.9856,0.2428
35,2,BC,9.698,13.698,0.2428
35,3,CD,9.698,13.698,0.2428
35,4,DE,11.9856,13.9856,0.2428
35,5,FG,12.0123,16.0123,0.2428
35,6,GH,9.7749,13.7749,0.2428
35,7,HI,9.7749,13.7749,0.2428
35,8,IJ,12.0123,16.0123,0.2428
35,9,AF,5.248,7.248,0.2428
35,10,GB,6.0474,10.0474,0.2428
35,11,HC,7.271,11.271,0.2428
35,12,ID,6.0474,10.0474,0.2428
35,13,EJ,5.248,7.248,0.2428
35,14,FB,13.0842,17.0842,0.2428
35,15,GC,11.429,15.429,0.2428
35,16,IC,11.429,15.429,0.2428
35,17,JD,13.0842,17.0842,0.2428
36,1,AB,11.9848,13.9848,0.2436
36,2,BC,9.7119,13.7119,0.2436
36,3,CD,9.7119,13.7119,0.2436
36,4,DE,11.9848,13.9848,0.2436
36,5,FG,12.0096,16.0096,0.2436
36,6,GH,9.7902,13.7902,0.2436
36,7,HI,9.7902,13.7902,0.2436
36,8,IJ,12.0096,16.0096,0.2436
36,9,AF,5.2721,7.2721,0.2436
36,10,GB,6.0441,10.0441,0.2436
36,11,HC,7.2793,11.2793,0.2436
36,12,ID,6.0441,10.0441,0.2436
36,13,EJ,5.2721,7.2721,0.2436
36,14,FB,13.0932,17.0932,0.2436
36,15,GC,11.4391,15.4391,0.2436
36,16,IC,11.4391,15.4391,0.2436
36,17,JD,13.0932,17.0932,0.2436
37,1,AB,11.9848,13.9848,0.2436
37,2,BC,9.7119,13.7119,0.2436
37,3,CD,9.7119,13.7119,0.2436
37,4,DE,11.9848,13.9848,0.2436
37,5,FG,12.0096,16.0096,0.2436
37,6,GH,9.7902,13.7902,0.2436
37,7,HI,9.7902,13.7902,0.2436
37,8,IJ,12.0096,16.0096,0.2436
37,9,AF,5.2721,7.2721,0.2436
37,10,GB,6.0441,10.0441,0.2436
37,11,HC,7.2793,11.2793,0.2436
37,12,ID,6.0441,10.0441,0.2436
37,13,EJ,5.2721,7.2721,0.2436
37,14,FB,13.0932,17.0932,0.2436
37,15,GC,11.4391,15.4391,0.2436
37,16,IC,11.4391,15.4391,0.2436
37,17,JD,13.0932,17.0932,0.2436
38,1,AB,11.9576,13.9576,0.2491
38,2,BC,9.6525,13.6525,0.2491
38,3,CD,9.6525,13.6525,0.2491
38,4,DE,11.9576,13.9576,0.2491
38,5,FG,12.0053,16.0053,0.2491
38,6,GH,9.7231,13.7231,0.2491
38,7,HI,9.7231,13.7231,0.2491
38,8,IJ,12.0053,16.0053,0.2491
38,9,AF,5.0325,7.0325,0.2491
