geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness,No1_X,No1_Y,No2_X,No2_Y
8,1,AB,11.8619,13.8619,0.1125,0.0,0.0,11.8619,0.0
8,2,BC,9.7592,13.7592,0.1125,11.8619,0.0,21.6211,0.0
8,3,CD,9.7592,13.7592,0.1125,21.6211,0.0,31.3804,0.0
8,4,DE,11.8619,13.8619,0.1125,31.3804,0.0,43.2423,0.0
8,5,FG,11.8644,15.8644,0.1125,0.0,5.7552,11.8619,5.9979
8,6,GH,9.7592,13.7592,0.1125,11.8619,5.9979,21.6211,5.9991
8,7,HI,9.7592,13.7592,0.1125,21.6211,5.9991,31.3804,5.9979
8,8,IJ,11.8644,15.8644,0.1125,31.3804,5.9979,43.2423,5.7552
8,9,AF,5.7552,7.7552,0.1125,0.0,0.0,0.0,5.7552
8,10,GB,5.9979,9.9979,0.1125,11.8619,5.9979,11.8619,0.0
8,11,HC,5.9991,9.9991,0.1125,21.6211,5.9991,21.6211,0.0
8,12,ID,5.9979,9.9979,0.1125,31.3804,5.9979,31.3804,0.0
8,13,EJ,5.7552,7.7552,0.1125,43.2423,0.0,43.2423,5.7552
8,14,FB,13.1844,17.1844,0.1125,0.0,5.7552,11.8619,0.0
8,15,GC,11.455,15.455,0.1125,11.8619,5.9979,21.6211,0.0
8,16,IC,11.455,15.455,0.1125,31.3804,5.9979,21.6211,0.0
8,17,JD,13.1844,17.1844,0.1125,43.2423,5.7552,31.3804,0.0
9,1,AB,11.8619,13.8619,0.1125,0.0,0.0,11.8619,0.0
9,2,BC,9.7592,13.7592,0.1125,11.8619,0.0,21.6211,0.0
9,3,CD,9.7592,13.7592,0.1125,21.6211,0.0,31.3804,0.0
9,4,DE,11.8619,13.8619,0.1125,31.3804,0.0,43.2423,0.0
9,5,FG,11.8644,15.8644,0.1125,0.0,5.7552,11.8619,5.9979
9,6,GH,9.7592,13.7592,0.1125,11.8619,5.9979,21.6211,5.9991
9,7,HI,9.7592,13.7592,0.1125,21.6211,5.9991,31.3804,5.9979
9,8,IJ,11.8644,15.8644,0.1125,31.3804,5.9979,43.2423,5.7552
9,9,AF,5.7552,7.7552,0.1125,0.0,0.0,0.0,5.7552
9,10,GB,5.9979,9.9979,0.1125,11.8619,5.9979,11.8619,0.0
9,11,HC,5.9991,9.9991,0.1125,21.6211,5.9991,21.6211,0.0
9,12,ID,5.9979,9.9979,0.1125,31.3804,5.9979,31.3804,0.0
9,13,EJ,5.7552,7.7552,0.1125,43.2423,0.0,43.2423,5.7552
9,14,FB,13.1844,17.1844,0.1125,0.0,5.7552,11.8619,0.0
9,15,GC,11.455,15.455,0.1125,11.8619,5.9979,21.6211,0.0
9,16,IC,11.455,15.455,0.1125,31.3804,5.9979,21.6211,0.0
9,17,JD,13.1844,17.1844,0.1125,43.2423,5.7552,31.3804,0.0
10,1,AB,11.8619,13.8619,0.1125,0.0,0.0,11.8619,0.0
10,2,BC,9.7592,13.7592,0.1125,11.8619,0.0,21.6211,0.0
10,3,CD,9.7592,13.7592,0.1125,21.6211,0.0,31.3804,0.0
10,4,DE,11.8619,13.8619,0.1125,31.3804,0.0,43.2423,0.0
10,5,FG,11.8644,15.8644,0.1125,0.0,5.7552,11.8619,5.9979
10,6,GH,9.7592,13.7592,0.1125,11.8619,5.9979,21.6211,5.9991
10,7,HI,9.7592,13.7592,0.1125,21.6211,5.9991,31.3804,5.9979
10,8,IJ,11.8644,15.8644,0.1125,31.3804,5.9979,43.2423,5.7552
10,9,AF,5.7552,7.7552,0.1125,0.0,0.0,0.0,5.7552
10,10,GB,5.9979,9.9979,0.1125,11.8619,5.9979,11.8619,0.0
10,11,HC,5.9991,9.9991,0.1125,21.6211,5.9991,21.6211,0.0
10,12,ID,5.9979,9.9979,0.1125,31.3804,5.9979,31.3804,0.0
10,13,EJ,5.7552,7.7552,0.1125,43.2423,0.0,43.2423,5.7552
10,14,FB,13.1844,17.1844,0.1125,0.0,5.7552,11.8619,0.0
10,15,GC,11.455,15.455,0.1125,11.8619,5.9979,21.6211,0.0
10,16,IC,11.455,15.455,0.1125,31.3804,5.9979,21.6211,0.0
10,17,JD,13.1844,17.1844,0.1125,43.2423,5.7552,31.3804,0.0
11,1,AB,11.7564,13.7564,0.1733,0.0,0.0,11.7564,0.0
11,2,BC,9.8101,13.8101,0.1733,11.7564,0.0,21.5664,0.0
11,3,CD,9.8101,13.8101,0.1733,21.5664,0.0,31.3765,0.0
11,4,DE,11.7564,13.7564,0.1733,31.3765,0.0,43.1329,0.0
11,5,FG,11.7582,15.7582,0.1733,0.0,5.9895,11.7564,6.1987
11,6,GH,9.8131,13.8131,0.1733,11.7564,6.1987,21.5664,6.4446
11,7,HI,9.8131,13.8131,0.1733,21.5664,6.4446,31.3765,6.1987
11,8,IJ,11.7582,15.7582,0.1733,31.3765,6.1987,43.1329,5.9895
11,9,AF,5.9895,7.9895,0.1733,0.0,0.0,0.0,5.9895
11,10,GB,6.1987,10.1987,0.1733,11.7564,6.1987,11.7564,0.0
11,11,HC,6.4446,10.4446,0.1733,21.5664,6.4446,21.5664,0.0
11,12,ID,6.1987,10.1987,0.1733,31.3765,6.1987,31.3765,0.0
11,13,EJ,5.9895,7.9895,0.1733,43.1329,0.0,43.1329,5.9895
11,14,FB,13.1942,17.1942,0.1733,0.0,5.9895,11.7564,0.0
11,15,GC,11.6044,15.6044,0.1733,11.7564,6.1987,21.5664,0.0
11,16,IC,11.6044,15.6044,0.1733,31.3765,6.1987,21.5664,0.0
11,17,JD,13.1942,17.1942,0.1733,43.1329,5.9895,31.3765,0.0
12,1,AB,11.7564,13.7564,0.1733,0.0,0.0,11.7564,0.0
12,2,BC,9.8101,13.8101,0.1733,11.7564,0.0,21.5664,0.0
12,3,CD,9.8101,13.8101,0.1733,21.5664,0.0,31.3765,0.0
12,4,DE,11.7564,13.7564,0.1733,31.3765,0.0,43.1329,0.0
12,5,FG,11.7582,15.7582,0.1733,0.0,5.9895,11.7564,6.1987
12,6,GH,9.8131,13.8131,0.1733,11.7564,6.1987,21.5664,6.4446
12,7,HI,9.8131,13.8131,0.1733,21.5664,6.4446,31.3765,6.1987
12,8,IJ,11.7582,15.7582,0.1733,31.3765,6.1987,43.1329,5.9895
12,9,AF,5.9895,7.9895,0.1733,0.0,0.0,0.0,5.9895
12,10,GB,6.1987,10.1987,0.1733,11.7564,6.1987,11.7564,0.0
12,11,HC,6.4446,10.4446,0.1733,21.5664,6.4446,21.5664,0.0
12,12,ID,6.1987,10.1987,0.1733,31.3765,6.1987,31.3765,0.0
12,13,EJ,5.9895,7.9895,0.1733,43.1329,0.0,43.1329,5.9895
12,14,FB,13.1942,17.1942,0.1733,0.0,5.9895,11.7564,0.0
12,15,GC,11.6044,15.6044,0.1733,11.7564,6.1987,21.5664,0.0
12,16,IC,11.6044,15.6044,0.1733,31.3765,6.1987,21.5664,0.0
12,17,JD,13.1942,17.1942,0.1733,43.1329,5.9895,31.3765,0.0
13,1,AB,11.7564,13.7564,0.1733,0.0,0.0,11.7564,0.0
13,2,BC,9.8101,13.8101,0.1733,11.7564,0.0,21.5664,0.0
13,3,CD,9.8101,13.8101,0.1733,21.5664,0.0,31.3765,0.0
13,4,DE,11.7564,13.7564,0.1733,31.3765,0.0,43.1329,0.0
13,5,FG,11.7582,15.7582,0.1733,0.0,5.9895,11.7564,6.1987
13,6,GH,9.8131,13.8131,0.1733,11.7564,6.1987,21.5664,6.4446
13,7,HI,9.8131,13.8131,0.1733,21.5664,6.4446,31.3765,6.1987
13,8,IJ,11.7582,15.7582,0.1733,31.3765,6.1987,43.1329,5.9895
13,9,AF,5.9895,7.9895,0.1733,0.0,0.0,0.0,5.9895
13,10,GB,6.1987,10.1987,0.1733,11.7564,6.1987,11.7564,0.0
13,11,HC,6.4446,10.4446,0.1733,21.5664,6.4446,21.5664,0.0
